Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
266,8023,StevenBASTIEN,04MAR1994,USA,4,"DrakeStadium,DesMoines,IA(USA)",26JUL2019,1130, 10.71/+1.4 - 7.49/+2.2 - 13.30 - 2.00 - 48.63 / 14.53/+3.8 - 39.17 - 4.70 - 57.23 - 4:32.74 ,10.71,7.49,13.30,2.00,48.63,14.53,39.17,4.70,57.23,4:32.74,+1.4,+2.2,+3.8
268,8022,AlekseyLYAKH,04MAY1962,URS,7,Basel(SUI),05JUL1987,1130, 11.42/-1.4 - 7.20/+1.7 - 15.27 - 2.07 - 50.26 / 14.90/+0.3 - 45.06 - 5.00 - 61.50 - 4:48.94 ,11.42,7.20,15.27,2.07,50.26,14.90,45.06,5.00,61.50,4:48.94,-1.4,+1.7,+0.3
269,8021,VitaliySMIRNOV,25OCT1978,UZB,1,Manila(PHI),23SEP2003,1129, 10.91/+0.8 - 7.18/ - 13.80 - 2.03 - 48.82 / 14.69/+1.2 - 42.72 - 4.60 - 62.23 - 4:37.18 ,10.91,7.18,13.80,2.03,48.82,14.69,42.72,4.60,62.23,4:37.18,+0.8,,+1.2
270,8019,RolfSCHLÄFLI,15MAR1971,SUI,4,Götzis(AUT),01JUN2003,1129, 11.07/+0.4 - 7.28/+1.3 - 15.53 - 1.88 - 48.69 / 14.80/-1.2 - 42.94 - 4.70 - 65.14 - 4:42.29 ,11.07,7.28,15.53,1.88,48.69,14.80,42.94,4.70,65.14,4:42.29,+0.4,+1.3,-1.2
271,8012,FlorianOBST,24FEB1993,GER,6,"Stadionring,Ratingen(GER)",17JUN2018,1128, 10.76/+1.0 - 7.28/+1.3 - 15.54 - 1.86 - 48.81 / 14.78/+0.9 - 50.97 - 4.70 - 55.31 - 4:54.87 ,10.76,7.28,15.54,1.86,48.81,14.78,50.97,4.70,55.31,4:54.87,+1.0,+1.3,+0.9
272,8010,ChrisHELWICK,18MAR1985,USA,7,"Eugene,OR(USA)",30JUN2008,1128, 11.34/-0.4 - 6.98/-0.3 - 13.80 - 1.99 - 50.20 / 15.26/+1.7 - 44.25 - 4.90 - 67.35 - 4:21.44 ,11.34,6.98,13.80,1.99,50.20,15.26,44.25,4.90,67.35,4:21.44,-0.4,-0.3,+1.7
273,8009,ReneSTAUSS,17SEP1987,GER,2,Düsseldorf(GER),30JUL2017,1128, 11.30/-0.7 - 7.22/+0.5 - 14.23 - 2.11 - 50.76 / 15.40/+1.3 - 47.21 - 4.95 - 58.58 - 4:37.73 ,11.30,7.22,14.23,2.11,50.76,15.40,47.21,4.95,58.58,4:37.73,-0.7,+0.5,+1.3
274,8007,DouglasPIRINI,06SEP1969,NZL,4,KualaLumpur(MAS),18SEP1998,1127, 10.93/-0.6 - 7.36/+0.1 - 14.36 - 1.92 - 48.31 / 14.85/0.0 - 45.62 - 4.70 - 59.33 - 4:43.14 ,10.93,7.36,14.36,1.92,48.31,14.85,45.62,4.70,59.33,4:43.14,-0.6,+0.1,0.0
274,8007,AleksandrSHTEPA,15MAY1979,RUS,1,Krasnodar(RUS),25MAY2002,1127, 10.90/ - 7.10/ - 16.25 - 1.91 - 51.26 / 14.96/ - 49.40 - 4.60 - 60.02 - 4:37.00 ,10.90,7.10,16.25,1.91,51.26,14.96,49.40,4.60,60.02,4:37.00,,,
276,8004,MoritzCLEVE,18FEB1987,GER,1,"Lubbock,TX(USA)",16MAY2009,1127, 10.75/+2.6 - 7.31/+3.9 - 14.34 - 1.95 - 48.39 / 14.28/+1.0 - 41.04 - 4.35 - 56.11 - 4:24.44 ,10.75,7.31,14.34,1.95,48.39,14.28,41.04,4.35,56.11,4:24.44,+2.6,+3.9,+1.0
276,8004,MikhailLOGVINENKO,19APR1984,RUS,3,Cheboksary(RUS),10JUN2011,1127, 11.26/-0.8 - 7.25/+0.3 - 13.77 - 1.97 - 48.72 / 14.32/+0.8 - 46.26 - 5.10 - 46.75 - 4:28.95 ,11.26,7.25,13.77,1.97,48.72,14.32,46.26,5.10,46.75,4:28.95,-0.8,+0.3,+0.8
278,8003,AttilaSZABÓ,16JUL1984,HUN,1,Budapest(HUN),03JUL2012,1127, 11.25/-2.7 - 7.28/+1.5 - 15.22 - 1.92 - 49.83 / 14.87/+1.0 - 45.32 - 4.55 - 68.87 - 4:40.77 ,11.25,7.28,15.22,1.92,49.83,14.87,45.32,4.55,68.87,4:40.77,-2.7,+1.5,+1.0
279,8002,FredriechPRETORIUS,04AUG1995,RSA,1,Pretoria(RSA),18MAR2017,1127, 10.74/+1.8 - 7.39/+1.2 - 13.30 - 1.96 - 49.98 / 14.61/+0.6 - 41.26 - 4.60 - 61.38 - 4:26.15 ,10.74,7.39,13.30,1.96,49.98,14.61,41.26,4.60,61.38,4:26.15,+1.8,+1.2,+0.6
280,8001,JasonDUDLEY,10NOV1984,AUS,3,Melbourne(AUS),21MAR2006,1126, 11.40/-1.9 - 7.27/+0.6 - 14.73 - 2.02 - 49.86 / 14.71/+0.1 - 50.10 - 4.50 - 69.27 - 5:03.82 ,11.40,7.27,14.73,2.02,49.86,14.71,50.10,4.50,69.27,5:03.82,-1.9,+0.6,+0.1
281,8000,PhilippIBE,05MAY1975,GER,4,Aachen(GER),08AUG1999,1126, 10.92/+0.8 - 7.68/+2.4 - 15.28 - 2.01 - 53.01 / 14.66/-0.1 - 44.66 - 4.80 - 60.49 - 4:53.69 ,10.92,7.68,15.28,2.01,53.01,14.66,44.66,4.80,60.49,4:53.69,+0.8,+2.4,-0.1
